📶~signal_strength.png|59,136,195|96,158,206|0.75|0.98
♉~taurus.png|146,102,204|164,127,212|0.77|0.98
💎~gem.png|93,173,236|116,183,234|0.16|0.43
😚~kissing_closed_eyes.png|255,204,77|240,178,80|0.51|0.76
🐲~dragon_face.png|119,178,85|110,166,78|0.37|0.53
✋~hand.png|255,221,93|254,215,91|0.4|0.47
📯~postal_horn.png|255,172,51|246,153,51|0.24|0.28
🐋~whale2.png|59,136,195|64,142,202|0.33|0.44
🎰~slot_machine.png|45,52,58|142,132,139|0.22|0.67
🕗~clock8.png|225,232,237|193,204,211|0.4|0.76
💾~floppy_disk.png|45,52,58|130,142,151|0.38|0.92
😮~open_mouth.png|255,204,77|237,188,68|0.65|0.76
🐎~racehorse.png|193,105,79|174,97,75|0.23|0.29
😔~pensive.png|255,204,77|239,190,69|0.64|0.76
🎭~performing_arts.png|203,183,234|174,184,178|0.22|0.56
📎~paperclip.png|153,170,181|153,170,181|0.16|0.16
😬~grimacing.png|255,204,77|224,180,74|0.5|0.74
🌘~waning_crescent_moon.png|102,118,128|131,136,127|0.46|0.74
😌~relieved.png|255,204,77|236,188,68|0.62|0.76
😎~sunglasses.png|255,204,77|192,156,66|0.48|0.76
🔆~high_brightness.png|255,172,51|255,172,51|0.27|0.27
👯~dancers.png|255,221,93|192,156,69|0.14|0.43
👓~eyeglasses.png|84,173,239|66,119,158|0.12|0.25
🔢~1234.png|59,136,195|99,160,207|0.71|0.98
👂~ear.png|255,220,93|252,206,88|0.37|0.51
👱~person_with_blond_hair.png|255,220,93|249,213,68|0.28|0.55
👼~angel.png|255,220,93|228,202,131|0.19|0.6
🏭~factory.png|160,4,30|175,65,81|0.26|0.59
😿~crying_cat_face.png|255,205,76|210,178,93|0.42|0.78
🍆~eggplant.png|116,78,170|116,84,165|0.39|0.42
🌱~seedling.png|119,178,85|119,178,85|0.21|0.21
🇰🇷~kr.png|238,238,238|203,195,202|0.45|0.69
💠~diamond_shape_with_a_dot_inside.png|85,172,238|96,175,234|0.32|0.43
😙~kissing_smiling_eyes.png|255,204,77|244,194,71|0.67|0.76
🕑~clock2.png|225,232,237|193,204,211|0.4|0.76
😰~cold_sweat.png|255,204,77|201,189,131|0.34|0.79
🈸~u7533.png|244,144,12|246,160,47|0.78|0.98
🚱~non-potable_water.png|0,0,0|104,57,63|0.37|0.76
🚝~monorail.png|230,231,232|159,180,178|0.14|0.64
♋~cancer.png|146,102,204|165,128,213|0.75|0.98
🎩~tophat.png|45,52,58|64,61,88|0.46|0.69
👛~purse.png|234,89,110|232,95,115|0.67|0.77
📉~chart_with_downwards_trend.png|226,233,238|186,210,228|0.28|0.83
🔸~small_orange_diamond.png|255,172,51|255,172,51|0.17|0.17
🎆~fireworks.png|34,102,153|101,141,153|0.53|0.98
🐺~wolf.png|102,118,128|143,155,164|0.21|0.52
🎡~ferris_wheel.png|170,184,194|149,146,167|0.06|0.33
🐒~monkey.png|191,105,82|194,114,90|0.38|0.49
👪~family.png|255,220,93|208,171,107|0.23|0.86
🕔~clock5.png|225,232,237|193,204,211|0.4|0.76
🏯~japanese_castle.png|102,117,127|164,153,150|0.19|0.59
🆎~ab.png|221,46,68|231,109,124|0.62|0.98
🚕~taxi.png|255,204,77|199,171,95|0.17|0.4
🎌~crossed_flags.png|232,234,235|201,182,188|0.21|0.36
🌕~full_moon.png|255,218,132|255,216,123|0.59|0.74
🔈~speaker.png|204,214,221|185,197,206|0.23|0.33
🚫~no_entry_sign.png|221,46,68|221,46,68|0.44|0.44
🍊~tangerine.png|244,144,12|231,141,15|0.62|0.68
🚉~station.png|167,169,172|129,142,141|0.12|0.58
🚸~children_crossing.png|255,204,77|149,119,45|0.23|0.55
📨~incoming_envelope.png|204,214,221|197,210,219|0.16|0.42
🎾~tennis.png|119,178,85|148,196,119|0.43|0.76
💁~information_desk_person.png|255,172,51|218,162,112|0.2|0.69
💝~gift_heart.png|222,42,66|237,126,93|0.31|0.66
😕~confused.png|255,204,77|244,194,71|0.68|0.76
🆘~sos.png|221,46,68|228,92,109|0.7|0.98
🌄~sunrise_over_mountains.png|255,204,77|190,176,76|0.32|0.98
😏~smirk.png|255,204,77|238,189,69|0.64|0.76
💔~broken_heart.png|222,42,66|222,42,66|0.51|0.51
🈴~u5408.png|221,46,68|226,74,93|0.78|0.98
🍹~tropical_drink.png|136,153,166|183,169,112|0.1|0.45
💬~speech_balloon.png|189,221,244|182,215,240|0.58|0.62
📳~vibration_mode.png|244,144,12|247,172,73|0.64|0.98
🍋~lemon.png|255,204,77|230,198,78|0.54|0.67
🎋~tanabata_tree.png|190,25,49|131,107,58|0.08|0.29
🍤~fried_shrimp.png|255,172,51|254,162,67|0.4|0.57
👙~bikini.png|116,78,170|110,73,163|0.14|0.18
🌐~globe_with_meridians.png|59,136,195|59,136,195|0.3|0.3
🐴~horse.png|193,105,79|177,101,78|0.52|0.66
🏊~swimmer.png|85,172,238|152,189,178|0.31|0.58
🍃~leaves.png|167,212,137|144,197,125|0.21|0.46
🚐~minibus.png|204,214,221|148,176,197|0.2|0.66
🍟~fries.png|221,46,68|225,89,55|0.25|0.64
💛~yellow_heart.png|253,203,88|253,203,88|0.62|0.62
🍍~pineapple.png|255,204,77|197,178,66|0.14|0.34
📙~orange_book.png|255,172,51|245,169,63|0.45|0.9
🎨~art.png|217,158,130|207,153,124|0.47|0.58
⌚~watch.png|205,215,222|169,177,182|0.16|0.45
🐏~ram.png|225,232,237|210,209,193|0.31|0.53
🍒~cherries.png|190,25,49|165,63,55|0.29|0.4
🚣~rowboat.png|84,173,239|117,155,176|0.29|0.49
💫~dizzy.png|255,172,51|254,192,90|0.14|0.26
🛄~baggage_claim.png|34,102,153|120,161,192|0.49|0.98
🈳~u7a7a.png|34,102,153|69,126,169|0.71|0.93
🎷~saxophone.png|252,171,64|244,181,87|0.2|0.32
📘~blue_book.png|85,172,238|88,158,212|0.45|0.9
👾~space_invader.png|85,57,134|85,57,134|0.37|0.37
🔞~underage.png|0,0,0|120,75,81|0.31|0.76
🎲~game_die.png|234,89,110|218,78,99|0.24|0.47
🎵~musical_note.png|93,173,236|93,173,236|0.42|0.42
🍮~custard.png|241,242,242|206,170,131|0.14|0.51
🏬~department_store.png|85,172,238|159,184,193|0.3|0.9
💢~anger.png|190,25,49|190,25,49|0.19|0.19
🏃~runner.png|255,221,93|162,173,131|0.07|0.19
🎥~movie_camera.png|45,52,58|72,82,89|0.27|0.47
📛~name_badge.png|221,46,68|229,113,129|0.44|0.71
🐚~shell.png|204,214,221|185,196,204|0.39|0.57
⚡~zap.png|255,172,51|255,172,51|0.25|0.25
🙀~scream_cat.png|255,205,76|231,186,99|0.31|0.78
💩~hankey.png|191,105,82|183,113,97|0.48|0.66
💼~briefcase.png|154,78,28|152,79,33|0.71|0.81
🐧~penguin.png|245,248,250|173,167,157|0.28|0.58
👜~handbag.png|146,102,204|160,115,192|0.58|0.68
📐~triangular_ruler.png|255,204,77|255,204,77|0.49|0.49
♏~scorpius.png|146,102,204|165,129,213|0.75|0.98
🔶~large_orange_diamond.png|255,172,51|255,172,51|0.47|0.47
⛵~boat.png|85,172,238|181,179,158|0.15|0.49
👢~boot.png|193,105,79|180,97,72|0.37|0.5
🔉~sound.png|204,214,221|183,195,204|0.23|0.35
👫~couple.png|255,173,48|211,164,105|0.11|0.48
💿~cd.png|136,153,166|165,179,189|0.46|0.74
🔹~small_blue_diamond.png|85,172,238|85,172,238|0.17|0.17
🍥~fish_cake.png|225,232,237|222,210,227|0.49|0.67
🚜~tractor.png|41,47,51|124,138,88|0.13|0.53
📃~page_with_curl.png|204,214,221|203,213,220|0.4|0.82
😱~scream.png|189,221,244|214,191,137|0.2|0.78
🎿~ski.png|225,232,237|169,182,207|0.26|0.52
🌋~volcano.png|75,84,93|128,111,97|0.17|0.59
👳~man_with_turban.png|119,178,85|200,194,108|0.11|0.42
🗾~japan.png|136,201,249|128,192,225|0.83|0.98
🙌~raised_hands.png|255,221,93|247,217,99|0.36|0.41
🐌~snail.png|255,172,51|221,165,121|0.19|0.52
⛪~church.png|255,217,131|217,151,100|0.2|0.4
😴~sleeping.png|255,205,76|222,184,77|0.55|0.76
🐫~camel.png|193,105,79|192,105,79|0.41|0.42
📈~chart_with_upwards_trend.png|226,233,238|217,190,199|0.28|0.83
🚳~no_bicycles.png|0,0,0|117,71,77|0.32|0.76
🚺~womens.png|234,89,110|238,120,137|0.76|0.98
🐮~cow.png|230,170,170|209,182,182|0.37|0.8
➗~heavy_division_sign.png|45,52,58|45,52,58|0.19|0.19
🐘~elephant.png|153,170,181|150,167,178|0.65|0.7
🔄~arrows_counterclockwise.png|59,136,195|108,166,210|0.67|0.98
💙~blue_heart.png|93,173,236|93,173,236|0.62|0.62
🐐~goat.png|204,214,221|205,212,215|0.38|0.41
🏠~house.png|255,233,183|202,196,157|0.27|0.52
🌞~sun_with_face.png|255,204,77|250,179,50|0.3|0.6
🎧~headphones.png|84,173,239|76,122,155|0.14|0.32
🍺~beer.png|255,205,76|250,201,103|0.29|0.71
🎻~violin.png|241,144,33|207,136,56|0.19|0.3
🕦~clock1130.png|225,232,237|193,204,211|0.4|0.76
🐕~dog2.png|218,159,131|208,146,120|0.24|0.39
🎎~dolls.png|41,47,51|139,132,120|0.14|0.73
🆒~cool.png|59,136,195|85,152,203|0.79|0.98
👏~clap.png|255,220,94|252,202,87|0.44|0.62
🗽~statue_of_liberty.png|21,117,105|62,157,161|0.4|0.99
😺~smiley_cat.png|255,205,76|223,180,81|0.47|0.77
🔀~twisted_rightwards_arrows.png|59,136,195|95,158,206|0.75|0.98
⛽~fuelpump.png|255,172,51|186,162,129|0.2|0.65
🍕~pizza.png|255,204,77|230,131,57|0.17|0.42
🎤~microphone.png|45,52,58|76,105,127|0.15|0.3
🐁~mouse2.png|204,214,221|210,196,205|0.26|0.32
😵~dizzy_face.png|255,204,77|225,177,62|0.56|0.76
📤~outbox_tray.png|217,158,130|201,110,95|0.24|0.55
👞~mans_shoe.png|196,100,68|145,80,58|0.17|0.33
👿~imp.png|171,142,217|159,130,206|0.65|0.79
⭕~o.png|221,46,68|221,46,68|0.4|0.4
🕛~clock12.png|225,232,237|195,205,213|0.41|0.76
💶~euro.png|198,228,181|181,207,178|0.41|0.65
🙈~see_no_evil.png|216,159,133|196,123,97|0.23|0.67
🙅~no_good.png|147,104,203|205,152,121|0.18|0.63
👇~point_down.png|255,220,93|255,220,93|0.38|0.38
🔲~black_square_button.png|45,52,58|131,135,139|0.46|0.93
🌽~corn.png|119,178,85|170,164,54|0.25|0.55
🔅~low_brightness.png|255,172,51|255,172,51|0.19|0.19
🌑~new_moon.png|102,117,127|100,115,126|0.62|0.76
🚭~no_smoking.png|0,0,0|94,48,53|0.4|0.76
🍻~beers.png|255,173,48|247,193,104|0.13|0.58
🏈~football.png|102,33,19|122,66,55|0.52|0.66
😘~kissing_heart.png|255,205,76|234,175,65|0.53|0.75
😽~kissing_cat.png|255,205,76|232,185,76|0.51|0.77
🌰~chestnut.png|193,105,79|177,91,65|0.4|0.72
💂~guardsman.png|41,47,51|117,81,67|0.23|0.43
💨~dash.png|189,221,244|189,221,244|0.55|0.55
💍~ring.png|154,170,180|139,177,204|0.19|0.32
🔺~small_red_triangle.png|231,90,112|231,90,112|0.19|0.19
🍳~egg.png|41,47,51|129,130,127|0.22|0.59
🍏~green_apple.png|119,178,85|116,172,81|0.54|0.58
📋~clipboard.png|255,255,255|211,191,187|0.23|0.69
💴~yen.png|253,216,136|218,198,148|0.41|0.65
🕞~clock330.png|225,232,237|192,203,211|0.39|0.76
✨~sparkles.png|255,172,51|255,179,57|0.19|0.25
🔮~crystal_ball.png|171,142,217|165,127,188|0.43|0.64
👷~construction_worker.png|255,247,95|236,204,90|0.14|0.48
💌~love_letter.png|205,215,222|209,173,184|0.23|0.67
💣~bomb.png|45,52,58|59,60,59|0.47|0.51
🇷🇺~ru.png|34,64,140|145,106,139|0.25|0.66
🛀~bath.png|204,214,221|200,205,203|0.31|0.42
🍄~mushroom.png|221,46,68|211,116,133|0.24|0.64
📔~notebook_with_decorative_cover.png|217,158,130|209,154,134|0.37|0.9
⛅~partly_sunny.png|225,232,237|234,213,178|0.39|0.58
🙊~speak_no_evil.png|216,159,133|196,128,104|0.26|0.66
🍣~sushi.png|221,46,68|181,99,105|0.14|0.66
➿~loop.png|34,102,153|79,133,174|0.53|0.75
🌛~first_quarter_moon_with_face.png|255,218,132|235,200,117|0.21|0.3
🌾~ear_of_rice.png|119,178,85|165,187,82|0.12|0.2
👶~baby.png|255,220,93|241,200,86|0.5|0.62
🍡~dango.png|166,211,136|222,199,161|0.09|0.3
♐~sagittarius.png|146,102,204|163,126,212|0.77|0.98
🔊~loud_sound.png|204,214,221|176,189,198|0.24|0.41
👔~necktie.png|136,201,249|137,149,191|0.44|0.98
⛲~fountain.png|153,170,181|129,170,200|0.15|0.5
👝~pouch.png|166,211,136|165,206,132|0.44|0.48
📣~mega.png|85,172,238|68,148,209|0.28|0.44
🏉~rugby_football.png|225,232,237|173,201,222|0.34|0.67
🍩~doughnut.png|138,75,56|174,111,66|0.3|0.57
📢~loudspeaker.png|204,214,221|188,123,137|0.17|0.49
🐛~bug.png|146,102,204|140,98,196|0.2|0.31
🐨~koala.png|153,170,181|136,151,162|0.38|0.52
♎~libra.png|146,102,204|168,133,214|0.72|0.98
🍰~cake.png|255,217,131|238,212,183|0.12|0.63
👧~girl.png|255,220,93|251,192,73|0.31|0.66
⬜~white_large_square.png|230,231,232|230,231,232|0.98|0.98
📻~radio.png|153,170,181|128,142,152|0.47|0.72
⚾~baseball.png|225,232,237|221,202,210|0.53|0.76
🇬🇧~gb.png|207,27,43|191,104,124|0.24|0.55
🌎~earth_americas.png|136,201,249|122,183,187|0.47|0.76
👦~boy.png|255,220,93|250,195,76|0.35|0.66
🌀~cyclone.png|85,172,238|85,172,238|0.41|0.41
🈚~u7121.png|244,144,12|246,165,57|0.71|0.98
💭~thought_balloon.png|189,221,244|189,221,244|0.53|0.53
♓~pisces.png|146,102,204|164,128,213|0.77|0.98
🍶~sake.png|85,172,238|129,188,232|0.23|0.46
😐~neutral_face.png|255,204,77|242,192,70|0.67|0.76
🕖~clock7.png|225,232,237|193,204,211|0.4|0.76
👘~kimono.png|59,136,195|85,152,203|0.46|0.65
🚧~construction.png|255,204,77|157,140,87|0.18|0.51
🚈~light_rail.png|209,211,212|158,151,135|0.19|0.68
⛄~snowman.png|225,232,237|197,174,168|0.21|0.4
♊~gemini.png|146,102,204|167,132,214|0.73|0.98
👻~ghost.png|225,232,237|192,199,204|0.46|0.61
🐬~dolphin.png|64,147,225|67,147,222|0.39|0.44
🚽~toilet.png|225,232,237|198,208,216|0.21|0.49
📩~envelope_with_arrow.png|204,214,221|183,206,222|0.27|0.78
⏬~arrow_double_down.png|59,136,195|99,160,207|0.75|0.98
🍓~strawberry.png|190,25,49|186,53,63|0.41|0.55
